Tweet,Sentiment
hackathonparlamentario Es Bueno la Hackathon,NEUTRAL
Muy buenas iniciativas para la Participaci n Ciudadana con los Proyectos de Ley HackathonParlamentario,NEUTRAL
HackathonParlamentario en la UNI,NEUTRAL
HackathonParlamentario estamos con vida Somos 4,NEUTRAL
Rumbo a la DemocraciaDigital en el Peru Programa HackathonParlamentario,NEUTRAL
RT Momento del break HackathonParlamentario,NEUTRAL
Momento del break HackathonParlamentario,NEUTRAL
RT tenorio Inaugurando la HackathonParlamentario,NEUTRAL
RT tenorio Inaugurando la HackathonParlamentario,NEUTRAL
HackathonParlamentario ganadores,NEUTRAL
HackathonParlamentario test,NEUTRAL
HackathonParlamentario estoy vivo La comida es buena,NEUTRAL
HackathonParlamentario,NEUTRAL
No llega el desayuno y el efecto del caf se acab a las 3 00 a m HackathonParlamentario CTIC UNI,NEUTRAL
Inaugurando la HackathonParlamentario,NEUTRAL
RT Participando en el HackathonParlamentario 2018 Rumbo a la Democracia Digital Innovaci nPublica creando soluciones t,NEUTRAL
RT Con el team SapiensLiberty en el HackathonParlamentario a n despiertos,NEUTRAL
RT Participando de hackat n parlamentario en la Universidad Nacional de Ingenier a HackathonParlamentario,NEUTRAL
RT Marinera en el HackathonParlamentario con y en Compartan y dejen su like https,NEUTRAL
Con el team SapiensLiberty en el HackathonParlamentario a n despiertos,NEUTRAL
Participando de hackat n parlamentario en la Universidad Nacional de Ingenier a HackathonParlamentario,NEUTRAL
RT Marinera en el HackathonParlamentario con y en Compartan y dejen su like https,NEUTRAL
hackathonparlamentario quiero mi pollo V,NEUTRAL
Con mucha fe en HackathonParlamentario,NEUTRAL
RT Marinera en el HackathonParlamentario con y en Compartan y dejen su like https,NEUTRAL
Marinera en el HackathonParlamentario con y en Compartan y dejen su like,NEUTRAL
NIX VOID Si se puede HackathonParlamentario Participaci nCiudadana,NEUTRAL
Participando en el HackathonParlamentario 2018 Rumbo a la Democracia Digital Innovaci nPublica creando solucio,NEUTRAL
RT J venes trabajando para fortalecer la democracia HackathonParlamentario,NEUTRAL
HackathonParlamentario ap yame p,NEUTRAL
RT HackathonParlamentario en estos momentos en el CR desarrollo del Taller Vivencial,NEUTRAL
RT Peralta1783 HackathonParlamentario,NEUTRAL
RT Team NIX VOID HackathonParlamentario ParticipacionCiudadana misaelabanto,NEUTRAL
RT HackathonParlamentario una apuesta para fortalecer la democracia,NEUTRAL
RT Me dijeron que tambi n dan premio al equipo que logra hacer tendencia XD Le dan RT HackathonParlamentario,NEUTRAL
RT Me dijeron que tambi n dan premio al equipo que logra hacer tendencia XD Le dan RT HackathonParlamentario,NEUTRAL
Me dijeron que tambi n dan premio al equipo que logra hacer tendencia XD Le dan RT HackathonParlamentario,NEUTRAL
HackathonParlamentario una apuesta para fortalecer la democracia,NEUTRAL
Team NIX VOID HackathonParlamentario ParticipacionCiudadana,NEUTRAL
J venes trabajando para fortalecer la democracia HackathonParlamentario,NEUTRAL
Team NIX VOID HackathonParlamentario ParticipacionCiudadana misaelabanto,NEUTRAL
HackathonParlamentario,NEUTRAL
HackathonParlamentario,NEUTRAL
HackathonParlamentario,NEUTRAL
RT AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Digital,NEUTRAL
RT AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Digital,NEUTRAL
RT AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Digital,NEUTRAL
RT AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Digital,NEUTRAL
RT AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Digital,NEUTRAL
RT AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Digital,NEUTRAL
RT Para el HackathonParlamentario S guenos a trav s del Youtube en vivo,NEUTRAL
Para el HackathonParlamentario S guenos a trav s del Youtube en vivo,NEUTRAL
S guenos atrav s de HackathonParlamentario del peru,NEUTRAL
RT HackathonParlamentario en estos momentos en el CR desarrollo del Taller Vivencial,NEUTRAL
HackathonParlamentario aqu en el Congreso,NEUTRAL
HackathonParlamentario en estos momentos en el CR desarrollo del Taller Vivencial,NEUTRAL
RT AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Digital,NEUTRAL
AHORA Se desarrolla TallerVivencial que da inicio al Primer HackathonParlamentario Rumbo a la Democracia Dig,NEUTRAL
